Token,Frequency
when,6
lighten,4
strike,16
it,22
is,26
an,3
electromagnet,2
discharg,3
from,8
earth,1
to,65
the,87
sky,1
could,6
be,16
possibl,4
build,4
a,50
stabl,2
conductor,2
of,45
electro,1
magnet,1
energi,9
gener,9
renew,3
eletr,1
while,4
lightn,36
occur,4
due,1
complex,1
process,1
involv,1
buildup,1
and,59
static,3
electr,24
in,28
atmospher,5
which,10
not,10
easili,1
replic,1
control,1
manner,1
therefor,1
current,2
howev,5
there,3
are,18
other,7
way,2
such,8
as,11
through,5
use,11
by,8
friction,1
between,1
two,3
materi,2
one,4
exampl,2
thi,10
van,1
de,1
graaff,1
can,10
rotat,1
belt,1
ground,13
metal,2
sphere,1
anoth,3
method,3
collector,2
design,10
captur,9
natur,1
charg,6
air,2
these,5
typic,2
consist,1
tall,1
point,1
rod,3
connect,3
wire,1
channel,1
into,4
storag,1
devic,3
they,7
effici,1
sourc,2
solar,1
or,9
wind,1
power,2
on,9
larg,4
scale,1
research,1
ongo,1
area,2
new,1
technolog,1
may,1
develop,2
futur,1
make,2
more,2
viabl,1
suffici,1
mechan,5
caus,1
at,1
locat,4
advis,1
tri,1
manipul,1
extrem,3
danger,2
unpredict,1
influenc,1
path,4
variou,1
techniqu,1
attempt,3
attract,3
specif,3
with,9
recommend,1
provid,5
low-imped,1
for,14
but,1
do,2
fact,1
structur,8
system,10
least,2
resist,2
follow,5
direct,3
safe,3
away,2
protect,16
creat,2
signific,2
risk,1
damag,1
injuri,1
particularli,1
if,8
popul,1
near,1
flammabl,1
import,4
establish,1
safeti,4
guidelin,1
regul,1
regard,1
ensur,2
peopl,1
properti,1
event,3
insid,1
low,2
imped,2
produc,8
enorm,1
requir,3
special,4
equip,9
precaut,2
arrest,5
effect,2
capacitor,2
store,1
later,1
telecommun,1
scientif,1
instrument,1
that,12
high,1
level,1
short,2
period,3
time,1
note,3
should,2
onli,1
done,1
train,2
profession,2
necessari,1
expertis,1
place,2
without,1
proper,1
avoid,1
who,1
built,1
manufactur,7
some,3
well-known,1
compani,2
includ,3
lec,1
global,7
lead,2
dehn,1
surg,1
solut,3
intern,1
lpi,1
erico,1
franklin,1
mani,1
choos,1
reput,1
experienc,1
select,1
also,1
have,1
instal,1
evalu,1
your,2
need,2
custom,1
internet,5
fraction,3
will,1
bitcoin,13
fall,1
apart,1
were,5
significantli,2
fragment,3
potenti,3
impact,2
network,20
abil,2
function,3
reli,1
node,8
miner,4
maintain,2
decentr,1
ledger,1
part,2
cut,1
off,1
becom,1
difficult,1
all,2
commun,4
each,4
consensu,1
's,2
worth,2
resili,2
disrupt,2
ha,4
sever,2
built-in,1
handl,2
temporari,1
outag,1
continu,3
valid,3
transact,6
even,2
abl,2
broader,2
addit,1
layer,1
redund,1
multipl,1
copi,1
blockchain,6
distribut,1
across,1
altern,1
mean,2
satellit,1
mesh,1
overal,1
pose,1
challeng,1
face,1
what,1
would,11
happen,2
onc,2
differ,6
start,2
block,3
separ,4
chain,10
result,2
``,1
fork,8
'',1
version,6
set,2
rule,4
how,2
those,2
confirm,1
scenario,1
user,3
side,2
decid,1
want,2
support,3
split,1
persist,1
extend,1
distinct,1
cryptocurr,2
market,1
exchang,1
rate,1
base,1
befor,1
case,2
ethereum,2
classic,1
2016,1
disagr,1
over,1
hack,1
dao,1
smart,1
contract,1
rare,1
most,1
resolv,1
quickli,1
littl,1
work,2
prevent,1
stabil,1
secur,1
i,4
think,1
you,5
're,3
exactli,1
right,1
'm,1
sure,1
accept,2
wrong,1
ani,3
n't,1
becaus,1
remain,2
same,2
reconnect,3
drop,1
shorter,4
null,1
void,1
correct,1
apolog,1
my,2
previou,1
respons,1
then,1
longer,1
consid,1
invalid,1
disregard,1
their,1
own,1
compet,1
automat,1
switch,1
longest,1
discard,1
nullifi,1
thank,1
bring,1
attent,1
hope,1
clarif,1
help,1
